0,1,2,3,4,5,6,7,8
IN05,Financial Services,IN0501,Financial Services,IN050101,Finance,IN050101006,Holding Company,"Holding companies with holding of 51% or more in 
other company"
IN05,Financial Services,IN0501,Financial Services,IN050101,Finance,IN050101007,Microfinance Institutions,"Microfinance companies as may be specified by the 
Reserve Bank of India (RBI)."
IN05,Financial Services,IN0501,Financial Services,IN050101,Finance,IN050101008,Securitisation,"Trusts that issue pass-through certificates, which 
include asset-backed securities, mortgage-backed 
securities, corporate assets-backed securities, 
besides other securitisation transactions"
IN05,Financial Services,IN0501,Financial Services,IN050102,Banks,IN050102001,Public Sector Bank,"Banks sponsored by Central or State government in 
India categorized as public sector bank by Reserve 
Bank of India (RBI)"
IN05,Financial Services,IN0501,Financial Services,IN050102,Banks,IN050102002,Private Sector Bank,"Banks categorized as private sector banks by 
Reserve Bank of India (RBI)"
IN05,Financial Services,IN0501,Financial Services,IN050102,Banks,IN050102003,Other Bank,"Other banks not classified under Public Sector Bank 
and Private Sector Bank above. Includes foreign 
banks, payment banks, small banks etc."
IN05,Financial Services,IN0501,Financial Services,IN050103,Capital Markets,IN050103001,"Asset Management 
Company","Companies engaged in mutual fund activities i.e. 
companies operating mutual funds, open-end 
mutual funds, closed-end mutual funds etc."
IN05,Financial Services,IN0501,Financial Services,IN050103,Capital Markets,IN050103002,"Depositories, Clearing 
Houses and Other 
Intermediaries","Companies providing depository services. Includes 
clearing houses/ clearing corporations, registrar/ 
share transfer agents, custodians etc. which are not 
covered elsewhere under 'Capital Markets'"
IN05,Financial Services,IN0501,Financial Services,IN050103,Capital Markets,IN050103003,"Financial Products 
Distributor","Companies engaged into distribution of financial 
products"
IN05,Financial Services,IN0501,Financial Services,IN050103,Capital Markets,IN050103004,Ratings,Companies providing ratings service
IN05,Financial Services,IN0501,Financial Services,IN050103,Capital Markets,IN050103005,"Exchange and Data 
Platform","Companies providing platform for trading of equity, 
commodity, currency, fixed income securities, 
power etc. are classified under 'Exchange 
Platform'.Companies providing data vending/ data 
dissemination are classified under 'Data Platform'"
IN05,Financial Services,IN0501,Financial Services,IN050103,Capital Markets,IN050103006,Stockbroking & Allied,"Companies engaged in providing brokerage services 
and other allied activities such as investment 
advisory services etc."
IN05,Financial Services,IN0501,Financial Services,IN050103,Capital Markets,IN050103007,"Other Capital Market 
related Services","Other Capital Market related Services not classified 
elsewhere above"
IN05,Financial Services,IN0501,Financial Services,IN050104,Insurance,IN050104001,General Insurance,Companies providing general insurance
IN05,Financial Services,IN0501,Financial Services,IN050104,Insurance,IN050104002,Life Insurance,Companies providing life insurance
IN05,Financial Services,IN0501,Financial Services,IN050104,Insurance,IN050104003,"Other Insurance 
Companies","Insurance companies offering multiple line of 
insurance such as life insurance, general insurance, 
medical insurance, etc."
IN05,Financial Services,IN0501,Financial Services,IN050104,Insurance,IN050104004,Insurance Distributors,"Companies engaged into distribution of insurance 
products"
IN05,Financial Services,IN0501,Financial Services,IN050105,"Financial Technology 
(Fintech)",IN050105001,"Financial Technology 
(Fintech)","Fintechs providing services like banking, payment 
processing, brokerage, aggregation and distribution 
of financial products and services"
IN06,Healthcare,IN0601,Healthcare,IN060101,"Pharmaceuticals & 
Biotechnology",IN060101001,Pharmaceuticals,"Manufacturers and distributors of pharmaceuticals 
and companies engaged in research & development 
of pharmaceuticals"
IN06,Healthcare,IN0601,Healthcare,IN060101,"Pharmaceuticals & 
Biotechnology",IN060101002,Biotechnology,"Companies engaged in the development, 
manufacturing or marketing and distribution of 
products based on biotechnology"
IN06,Healthcare,IN0601,Healthcare,IN060102,"Healthcare Equipment & 
Supplies",IN060102001,"Medical Equipment & 
Supplies","Manufacturers and distributors of medical 
equipments such as blood pressure monitoring 
machine, X-Ray machines, MRI scanners, and 
supplies such as injection needles, syringe, gloves 
etc."
IN06,Healthcare,IN0601,Healthcare,IN060103,Healthcare Services,IN060103001,Hospital,"Owners and operators of health care facilities. It 
includes hospitals, nursing homes and veterinary 
hospitals.  Includes investment trusts where 
underlying is 'Hospitals'"
IN06,Healthcare,IN0601,Healthcare,IN060103,Healthcare Services,IN060103002,"Healthcare Service 
Provider","Owners and operators of diagnostic services such as 
pathological laboratories, X-Ray and MRI scan 
centres, etc."
IN06,Healthcare,IN0601,Healthcare,IN060103,Healthcare Services,IN060103003,"Healthcare Research, 
Analytics & Technology","Companies providing healthcare research and 
analytics related services"
